Rvals_NN,Rstd_NN,Rvals_RF,Rstd_RF,Fraction
0.14804091699809008,0.2613200527194325,0.5470910112352861,0.15875510687835326,0.1
0.29682508098594645,0.18833149038417818,0.628596394054405,0.11663184519796227,0.2
0.42113143906866324,0.20272019198456184,0.7284874457867583,0.06577272552501222,0.30000000000000004
0.5791836533739422,0.08801856077968141,0.7476130714662715,0.02915985382688339,0.4
0.5598747451880708,0.11352334817027819,0.74006967332727,0.029457238570887098,0.5
0.6706095442124717,0.08762145631071033,0.7278606284083284,0.07110161727538682,0.6
0.6346636353146712,0.07224437922906903,0.731734065746299,0.04036272076495788,0.7000000000000001
0.6655049905081738,0.0608727914995149,0.7507554782813464,0.01829840079805368,0.8
0.6472624314109704,0.07397785306769565,0.7658091625781283,0.017212575489942174,0.9
0.6804884838928194,0.05687790314266429,0.7515525989066576,0.008698282292464398,1.0
