Rvals_NN,Rstd_NN,Rvals_RF,Rstd_RF,Fraction
0.2279561226502637,0.13076592952995447,0.5607622223681051,0.13513251320269845,0.1
0.3127584681715266,0.257485033934181,0.6519677441408699,0.07748227532615973,0.2
0.392635508226597,0.22092668814656632,0.7377750014118455,0.039377848934804616,0.30000000000000004
0.5337650237122527,0.14216858113001452,0.7168907599632133,0.07921435187635315,0.4
0.5818051467630421,0.14515691874015865,0.7088011851043127,0.05973276825438727,0.5
0.6309173342122448,0.11172387757933026,0.7448925458681606,0.037611429744289625,0.6
0.6518164526095063,0.07008055504633393,0.7407376044404631,0.014097266808231625,0.7000000000000001
0.6428246353462261,0.09754500018000471,0.7362126830784106,0.030675828176460036,0.8
0.6999375692022458,0.05561107747949601,0.7471568979453905,0.01860618468886837,0.9
0.6916134577843283,0.06241610175490549,0.7451530156423501,0.003389330765381642,1.0
